City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Riyadh,SA,24.6877,46.7219,55.4,71,0,9.22,clear sky
333,Saint-Augustin,CA,51.226,-58.6502,18.05,92,5,10.0,clear sky
334,Idah,NG,7.1065,6.7342,75.38,64,94,4.03,overcast clouds
335,Mingshui,CN,36.7167,117.5,39.0,37,0,3.36,clear sky
336,Yemelyanovo,RU,56.1681,92.6767,30.2,74,40,4.47,scattered clouds
337,Tiarei,PF,-17.5333,-149.3333,86.0,70,40,12.66,scattered clouds
338,Acapulco,MX,16.8634,-99.8901,80.6,74,20,8.05,few clouds
339,Qarqin,AF,37.4185,66.0436,55.51,46,59,11.07,broken clouds
340,Oxford,GB,51.7522,-1.256,30.99,86,40,14.97,light snow
341,Homer,US,59.6425,-151.5483,26.6,74,1,6.91,clear sky
342,Hirara,JP,24.8,125.2833,71.6,64,40,12.66,scattered clouds
343,Lady Lake,US,28.9175,-81.9229,64.4,72,1,4.61,clear sky
344,Slonim,BY,53.0867,25.3219,2.53,89,67,11.97,broken clouds
345,Lagoa,PT,39.05,-27.9833,57.79,79,30,18.77,scattered clouds
346,Mount Isa,AU,-20.7333,139.5,86.0,62,75,12.66,broken clouds
